,distanceDrug2017min,id
0,238603.239991,0
1,226248.29277,1
2,236397.960037,2
3,122429.392276,3
4,116697.364796,4
5,25887.3962348,5
6,88272.3127313,6
7,63053.764609,7
8,129769.865769,8
9,239080.490348,9
10,179054.838015,10
11,169636.03442,11
12,24705.097259,12
13,209049.146755,13
14,92131.8843802,14
15,35343.4582615,15
16,91796.9018665,16
17,71272.5599301,17
18,130394.014991,18
19,120482.877995,19
20,93054.185971,20
21,75975.3047973,21
22,619393.905089,22
23,56856.1475159,23
24,76758.5757889,24
25,60632.335301,25
26,13831.6968433,26
27,16982.4256232,27
28,0.0,28
29,64222.84678,29
30,36353.6139129,30
31,56022.6042626,31
32,40075.56,32
33,36479.7593683,33
34,11319.3603909,34
35,222277.224608,35
36,302793.12,36
37,293674.88135,37
38,0.0,38
39,160468.771566,39
40,80271.9819314,40
41,72958.2771439,41
42,351765.92194,42
43,53632.5015428,43
44,228481.39017,44
45,6414.70359682,45
46,242606.864839,46
47,234290.245009,47
48,363583.610229,48
49,193646.190311,49
50,199203.627597,50
51,32100.8671655,51
52,16132.7504641,52
53,16698.15,53
54,25402.6861759,54
55,47894.7056875,55
56,0.0,56
57,186359.024952,57
58,23180.6517018,58
59,0.0,59
60,0.0,60
61,0.0,61
62,0.0,62
63,157206.052284,63
64,117556.698258,64
65,171398.034531,65
66,155977.870017,66
67,272873.008259,67
68,122997.274964,68
69,0.0,69
70,275952.314958,70
71,270226.544792,71
72,343670.783099,72
73,224241.352799,73
74,224245.236311,74
75,63774.3253467,75
76,109486.391593,76
77,115492.364478,77
78,315446.058228,78
79,31067.7457299,79
80,4611.76658145,80
81,14944.631472,81
82,39812.012607,82
83,51642.9395192,83
84,45049.3717589,84
85,36879.2049129,85
86,0.0,86
87,0.0,87
88,0.0,88
89,325536.328874,89
90,0.0,90
91,471662.305786,91
92,424664.993742,92
93,462996.02968,93
94,423261.902518,94
95,416511.195717,95
96,396011.283883,96
97,350567.063974,97
98,357176.896085,98
99,59122.7557634,99
100,449514.367732,100
101,383084.219846,101
102,328030.938885,102
103,426337.894652,103
104,372173.390982,104
105,346749.572828,105
106,49667.280395,106
107,257198.597215,107
108,245813.401926,108
109,223732.518606,109
110,159630.773722,110
111,91738.6139304,111
112,70018.5971369,112
113,217411.464778,113
114,149965.25508,114
115,260159.687143,115
116,28122.8709317,116
117,145016.657725,117
118,61442.6683418,118
119,28857.5337386,119
120,38017.324894,120
121,30731.0646447,121
122,24580.3342107,122
123,24580.9810069,123
124,29196.4247699,124
125,92095.5429806,125
126,139575.934658,126
127,116887.05,127
128,43067.8479229,128
129,106038.94323,129
130,38492.2188447,130
131,26129.2598148,131
132,145669.41995,132
133,86830.38,133
134,75007.3522481,134
135,28271.9938104,135
136,67734.2864983,136
137,163701.664554,137
138,36735.93,138
139,100851.296691,139
140,10755.7347712,140
141,14582.9752859,141
142,42774.1072585,142
143,47068.5533217,143
144,39302.3108392,144
145,127798.85959,145
146,106663.536474,146
147,184667.23628,147
148,75434.1569762,148
149,17811.36,149
150,57167.415223,150
151,23912.706492,151
152,24570.7123753,152
153,6412.13547045,153
154,0.0,154
155,69401.5503906,155
156,27765.9089287,156
157,3080.18726172,157
158,0.0,158
159,14424.5748493,159
160,13870.4110788,160
161,0.0,161
162,63923.0517625,162
163,100335.978808,163
164,59085.3730638,164
165,79604.5515672,165
166,97171.9889466,166
167,14943.4717823,167
168,71237.3610018,168
169,0.0,169
170,0.0,170
171,45703.3021083,171
172,27819.4262592,172
173,36536.2099035,173
174,225728.154791,174
175,16671.8090926,175
176,0.0,176
177,36716.2466,177
178,0.0,178
179,34722.1699442,179
180,0.0,180
181,0.0,181
182,17387.352605,182
183,0.0,183
184,233855.382651,184
185,101483.06013,185
186,196110.852557,186
187,201873.688559,187
188,212218.239454,188
189,189825.941002,189
190,190358.91,190
191,302713.167952,191
192,13419.8656708,192
193,253376.904588,193
194,188366.557109,194
195,186039.315787,195
196,84329.0081667,196
197,186327.666519,197
198,166795.721244,198
199,166912.288102,199
200,167016.755839,200
201,154158.24198,201
202,148265.172141,202
203,121574.135063,203
204,122081.806328,204
205,125809.839054,205
206,128507.464456,206
207,0.0,207
208,0.0,208
209,0.0,209
210,0.0,210
211,0.0,211
212,16594.6943828,212
213,17153.6387468,213
214,0.0,214
215,44013.948438,215
216,269202.785,216
217,327991.587848,217
218,173502.125512,218
219,199861.981864,219
220,113502.26158,220
221,138148.614747,221
222,227550.907489,222
223,107398.221015,223
224,199409.079503,224
225,252319.499311,225
226,345410.390477,226
227,309593.1305,227
228,328639.13579,228
229,392300.649285,229
230,81665.2116651,230
231,58706.4797317,231
232,138109.11074,232
233,112942.523446,233
234,6882.85521851,234
235,0.0,235
236,0.0,236
237,52522.6701997,237
238,98315.8406285,238
239,72619.4189797,239
240,42512.4401291,240
241,142209.530276,241
242,24426.8664923,242
243,150283.35,243
244,84453.5404286,244
245,90170.01,245
246,91283.22,246
247,302629.230272,247
248,277114.662179,248
249,272428.475858,249
250,243774.281895,250
251,0.0,251
252,55687.8619045,252
253,143107.269962,253
254,99053.6825925,254
255,83251.3085328,255
256,76395.9627844,256
257,43312.9188655,257
258,57534.8824943,258
259,79387.3185532,259
260,64482.8055172,260
261,0.0,261
262,77552.5586976,262
263,117355.392901,263
264,112205.980195,264
265,176827.709891,265
266,0.0,266
267,0.0,267
268,0.0,268
269,0.0,269
270,20240.2862012,270
271,122731.998062,271
272,108081.883493,272
273,0.0,273
274,0.0,274
275,51436.2444125,275
276,31160.697748,276
277,18094.8795311,277
278,80567.7743362,278
279,25380.3927814,279
280,16303.1346133,280
281,0.0,281
282,0.0,282
283,0.0,283
284,25330.4755457,284
285,514470.032544,285
286,460829.358798,286
287,373580.498185,287
288,423623.865295,288
289,107607.926809,289
290,239253.908404,290
291,282043.959647,291
292,36154.2335501,292
293,218639.762591,293
294,153153.927703,294
295,297228.505905,295
296,156302.312231,296
297,140637.291237,297
298,0.0,298
299,0.0,299
300,81866.9850757,300
301,0.0,301
302,17726.4012923,302
303,36950.4956337,303
304,0.0,304
305,7408.2245116,305
306,227289.482358,306
307,57493.9214546,307
308,116397.126716,308
309,140829.115103,309
310,205274.534908,310
311,292113.01162,311
312,257255.611499,312
313,110712.684451,313
314,256891.252106,314
315,377241.925872,315
316,361085.234379,316
317,434950.744907,317
318,52275.5726868,318
319,67307.0093847,319
320,0.0,320
321,530400.826117,321
322,291943.879168,322
323,53321.5515603,323
324,67240.6416069,324
325,141097.175795,325
326,52984.0154755,326
327,80802.5814882,327
328,95588.9323832,328
329,151099.113003,329
330,159930.748655,330
331,142784.830704,331
332,99634.7413379,332
333,16133.5594713,333
334,36144.1014017,334
335,263402.516128,335
336,287315.875372,336
337,441414.291928,337
338,442705.360095,338
