,dist_water2017max,id
0,115813.989106,0
1,35374.1090987,1
2,36134.4422096,2
3,63582.971423,3
4,62521.0852868,4
5,53545.8403105,5
6,58141.7556569,6
7,23018.0010677,7
8,52802.3651184,8
9,112801.672355,9
10,37931.915664,10
11,29797.3876648,11
12,36133.5016014,12
13,55630.8969955,13
14,20043.1352854,14
15,28712.6611681,15
16,35645.3757778,16
17,24203.704053,17
18,16698.15,18
19,53635.4449258,19
20,28298.9253923,20
21,20342.6707486,21
22,35543.0388969,22
23,21167.1686791,23
24,35592.1663186,24
25,41699.2722875,25
26,47819.9313297,26
27,76415.7741721,27
28,78570.5554944,28
29,55359.4178386,29
30,40436.2728987,30
31,57150.8288158,31
32,50315.1110132,32
33,75388.7799504,33
34,77287.1025401,34
35,74428.3493344,35
36,84455.3049485,36
37,54024.7090428,37
38,54804.5381862,38
39,33328.1817146,39
40,60048.8689531,40
41,21018.9654311,41
42,297484.564995,42
43,28598.5200741,43
44,166498.81107,44
45,66064.6097449,45
46,140714.715765,46
47,64569.4941547,47
48,99397.9964,48
49,33767.4778258,49
50,40343.4016627,50
51,45406.2932982,51
52,63810.9640857,52
53,69422.6710734,53
54,71865.8845635,54
55,50734.2523473,55
56,114828.247448,56
57,65916.9629683,57
58,32056.4809405,58
59,59031.7056822,59
60,46924.299665,60
61,92252.1894925,61
62,82900.337097,62
63,31826.5208973,63
64,64917.5365002,64
65,37539.7293324,65
66,134883.263518,66
67,170307.854426,67
68,89013.3846719,68
69,60322.3719279,69
70,54866.3649771,70
71,163356.736951,71
72,73829.0777138,72
73,50870.926102,73
74,65882.7304238,74
75,28775.5815436,75
76,64341.3932476,76
77,69019.02,77
78,203615.728842,78
79,58971.5439278,79
80,56675.3333473,80
81,60302.8791043,81
82,26103.4642921,82
83,36441.2407453,83
84,37127.33381,84
85,25641.1291733,85
86,82870.0737084,86
87,69213.8340216,87
88,65108.5341549,88
89,37006.5445879,89
90,69876.9008637,90
91,247730.394554,91
92,40842.8687124,92
93,186196.141559,93
94,86166.7212431,94
95,77951.6217019,95
96,86530.1959875,96
97,85921.6243102,97
98,103854.810949,98
99,22759.7360958,99
100,283678.886663,100
101,70326.7207039,101
102,201458.553071,102
103,292431.628456,103
104,117938.743371,104
105,117297.638934,105
106,52465.2137964,106
107,162898.302099,107
108,128724.276411,108
109,136773.842876,109
110,37325.6119966,110
111,5474.27470857,111
112,43392.8096101,112
113,77716.5877225,113
114,91643.8949569,114
115,114466.446508,115
116,66792.6,116
117,21486.6089364,117
118,27290.136657,118
119,30687.0752268,119
120,23032.1764528,120
121,30146.2855072,121
122,37123.9487144,122
123,37123.9487144,123
124,33486.8740014,124
125,48694.7934402,125
126,15792.8141911,126
127,38481.7665497,127
128,16899.2040541,128
129,51872.4745335,129
130,64562.1600096,130
131,34978.3828965,131
132,141498.903339,132
133,19686.203995,133
134,30321.3438226,134
135,37966.3730531,135
136,52529.0545287,136
137,88345.6606206,137
138,54635.9971508,138
139,87526.7008474,139
140,51090.8691578,140
141,46529.1932365,141
142,50217.5521071,142
143,46266.9888147,143
144,63813.8019321,144
145,80711.0967101,145
146,61068.349358,146
147,21378.4819355,147
148,107875.837849,148
149,58122.9290266,149
150,43523.7365761,150
151,76215.047832,151
152,67275.3330268,152
153,38196.3996679,153
154,63408.6158538,154
155,4452.84,155
156,44812.5337727,156
157,86564.8138864,157
158,93625.5029184,158
159,71669.5088077,159
160,59318.1894786,160
161,92910.4580515,161
162,56764.5101163,162
163,6767.31952213,163
164,38020.8587668,164
165,14968.8141987,165
166,2226.42,166
167,44845.3378777,167
168,23680.6154436,168
169,90842.1844852,169
170,91111.0857705,170
171,47912.5657523,171
172,63377.6373109,172
173,59703.1769428,173
174,35520.2078071,174
175,71924.4248826,175
176,78317.1322662,176
177,72919.3660304,177
178,68482.5463012,178
179,44154.8480094,179
180,75094.7300691,180
181,34898.3341215,181
182,79097.3071643,182
183,103547.048335,183
184,105517.265873,184
185,6295.90856279,185
186,37969.1736055,186
187,49718.5855333,187
188,87033.5434012,188
189,56393.97574,189
190,59445.281028,190
191,80295.2980811,191
192,84838.4809231,192
193,57222.6445593,193
194,81986.6527073,194
195,54081.2949206,195
196,1541.63012287,196
197,96621.2575891,197
198,50718.6979207,198
199,45074.8962436,199
200,27046.5430438,200
201,20786.3521446,201
202,33948.2396059,202
203,47877.2473325,203
204,52628.8353838,204
205,41991.3432864,205
206,45783.7773519,206
207,98629.656439,207
208,115910.754036,208
209,41969.7386396,209
210,157737.900739,210
211,56603.419266,211
212,57610.0383626,212
213,131245.959309,213
214,110703.383209,214
215,56565.3909586,215
216,15719.4191178,216
217,30750.3117061,217
218,86332.2768913,218
219,81546.4655416,219
220,128646.209255,220
221,95921.6615886,221
222,33136.1604434,222
223,50463.7521239,223
224,76588.8476387,224
225,85101.3713562,225
226,40055.5285122,226
227,53710.6286609,227
228,84978.2616901,228
229,46466.0144341,229
230,8701.89039211,230
231,5661.20392266,231
232,71234.7526062,232
233,176549.429599,233
234,118187.430692,234
235,20818.7299084,235
236,60799.3814876,236
237,16791.8457529,237
238,52429.4180106,238
239,8878.940983,239
240,29768.1612087,240
241,87877.2428362,241
242,39506.1462556,242
243,59655.8282688,243
244,43569.7992174,244
245,26160.5566328,245
246,30474.0565785,246
247,150535.580407,247
248,133508.284022,248
249,99108.1700029,249
250,111603.066118,250
251,66116.9814925,251
252,46934.5983216,252
253,90177.0715746,253
254,38348.9185252,254
255,43539.9086518,255
256,61976.7277313,256
257,54627.1656492,257
258,62189.1607193,258
259,58832.2971906,259
260,29844.4228228,260
261,52799.6474199,261
262,46754.82,262
263,44480.0229915,263
264,73498.3463052,264
265,108962.597066,265
266,106415.472698,266
267,55724.3797597,267
268,90273.7996447,268
269,87596.4225266,269
270,48610.8648647,270
271,61866.5466024,271
272,68801.3226268,272
273,63794.323104,273
274,72281.4807192,274
275,21483.0679239,275
276,48093.6435869,276
277,40376.6720068,277
278,87854.0526218,278
279,30407.8205031,279
280,39903.9129903,280
281,59486.1040886,281
282,60687.0770955,282
283,47685.6138642,283
284,66875.3569468,284
285,145941.071427,285
286,154542.690905,286
287,194873.35174,287
288,147202.748247,288
289,232691.539135,289
290,160007.746227,290
291,166273.666023,291
292,48395.8461354,292
293,156711.822655,293
294,77199.8913079,294
295,58945.1424213,295
296,67521.7298179,296
297,67625.6480791,297
298,84202.5853144,298
299,47287.6130312,299
300,31422.3283424,300
301,68548.2725598,301
302,41953.6638929,302
303,23836.9567583,303
304,153718.418779,304
305,85743.8964677,305
306,178352.212201,306
307,44793.7582591,307
308,106666.405182,308
309,82918.8097807,309
310,125721.400189,310
311,145365.09676,311
312,108778.922999,312
313,72468.0063911,313
314,119567.913965,314
315,179504.867147,315
316,202592.350337,316
317,235970.243935,317
318,25603.83,318
319,46878.7473747,319
320,69019.02,320
321,18988.8401681,321
322,55053.9691694,322
323,24238.6516603,323
324,12245.31,324
325,95894.6509126,325
326,30084.5655134,326
327,6397.44923649,327
328,41345.7975872,328
329,25989.7404435,329
330,52466.0835791,330
331,68349.3282387,331
332,48201.0688653,332
333,51457.0412654,333
334,47610.4165125,334
335,170448.130327,335
336,95099.2370128,336
337,148910.566604,337
338,46852.0035116,338
